Signal Name,Used?,Physical Units,Source,Type,% Error,Last-Modification Date,Range [Max],Range [Min],Fwd EU Expression,Rvr EU Expression,Uncertainty Expression,Fwd EU Calibration Points,Rvr EU Calibration Points
Temp_Ambient_2,Used,deg C,Dev1/ai20,DC_Voltage,N/A,"Thursday, March 20, 2014  7:35:26 AM",10,-10,(0.838719)*temp_ambient_2^0 + (9.924715)*temp_ambient_2^1 + (0.017587)*temp_ambient_2^2 + (-0.001468)*temp_ambient_2^3,,,"||0.000000E+0,77.888416E-3;5.000000E+0,420.331958E-3;10.000000E+0,923.343046E-3;15.000000E+0,1.425648E+0;20.000000E+0,1.927118E+0;25.000000E+0,2.425426E+0;30.000000E+0,2.925347E+0;35.000000E+0,3.429056E+0;40.000000E+0,3.925837E+0;45.000000E+0,4.426433E+0;50.000000E+0,4.925728E+0;55.000000E+0,5.426833E+0;60.000000E+0,5.929891E+0;65.000000E+0,6.431222E+0;70.000000E+0,6.933098E+0;75.000000E+0,7.433961E+0;80.000000E+0,7.934139E+0;85.000000E+0,8.435708E+0;90.000000E+0,8.933791E+0;95.000000E+0,9.437249E+0;100.000000E+0,9.932165E+0",
Temp_HS,Used,deg C,Dev1/ai21,DC_Voltage,N/A,"Thursday, March 20, 2014  7:37:02 AM",10,-10,(-0.131626)*temp_hs^0 + (10.020599)*temp_hs^1 + (-0.002213)*temp_hs^2,,,"||0.000000E+0,9.267607E-3;5.000000E+0,487.932531E-3;10.000000E+0,987.255891E-3;15.000000E+0,1.489829E+0;20.000000E+0,1.991764E+0;25.000000E+0,2.487324E+0;30.000000E+0,2.982046E+0;35.000000E+0,3.485137E+0;40.000000E+0,3.983863E+0;45.000000E+0,4.483029E+0;50.000000E+0,4.985786E+0;55.000000E+0,5.484127E+0;60.000000E+0,5.984224E+0;65.000000E+0,6.484367E+0;70.000000E+0,6.987312E+0;75.000000E+0,7.486345E+0;80.000000E+0,7.987031E+0;85.000000E+0,8.488129E+0;90.000000E+0,8.985276E+0;95.000000E+0,9.487506E+0;100.000000E+0,9.987029E+0",
Temp_Cap,Used,deg C,Dev1/ai22,DC_Voltage,N/A,"Thursday, March 20, 2014  7:37:58 AM",10,-10,(-0.008640)*temp_cap^0 + (10.035617)*temp_cap^1 + (-0.004140)*temp_cap^2 ,,,"||0.000000E+0,6.859440E-3;5.000000E+0,507.527483E-3;10.000000E+0,1.007582E+0;15.000000E+0,1.508328E+0;20.000000E+0,2.007627E+0;25.000000E+0,2.504375E+0;30.000000E+0,2.996028E+0;35.000000E+0,3.496116E+0;40.000000E+0,3.994399E+0;45.000000E+0,4.492097E+0;50.000000E+0,4.993501E+0;55.000000E+0,5.496365E+0;60.000000E+0,5.992924E+0;65.000000E+0,6.495819E+0;70.000000E+0,6.995579E+0;75.000000E+0,7.498267E+0;80.000000E+0,7.996633E+0;85.000000E+0,8.497797E+0;90.000000E+0,8.996725E+0;95.000000E+0,9.497198E+0;100.000000E+0,9.992645E+0;100.000000E+0,9.990601E+0",
AAC_CT,Not Used,Amps,Dev1/ai23,Current,0,"Friday, October 31, 2008  12:46:31 PM",10,-10,(-101.831180E-3)*aac_ct^0 + (51.083355E+0)*aac_ct^1,,Max(CalError),"||0.000000E+0,2.501796E-3;2.000000E+0,40.961898E-3;4.000000E+0,79.892796E-3;6.000000E+0,119.824774E-3;8.000000E+0,159.753951E-3;10.000000E+0,199.497582E-3;12.000000E+0,239.202541E-3;14.000000E+0,278.994277E-3;16.000000E+0,318.653352E-3;18.000000E+0,359.223757E-3;20.000000E+0,399.268306E-3",
PhA_VA,Used,VA,Calculated,VA,N/A,"Thursday, October 16, 2008  12:54:17 PM",10,-10,"VA(PhA_V_INV,PhA_I_INV)","VA(PhA_V_INV,PhA_I_INV)",,,
PhA_WATTS,Used,Watts,Calculated,AC+DC_Watts,N/A,"Tuesday, April 26, 2011  3:01:17 PM",10,-10,"Watts(PhA_V_INV,PhA_I_INV)","Watts(PhA_V_INV,PhA_I_INV)",,,
PhA_VARS,Used,VARs,Calculated,VARS,N/A,"Thursday, October 16, 2008  12:54:36 PM",10,-10,"VARS(PhA_VA,PhA_WATTS)",,,,
PhA_PF,Used,n/a,Calculated,,N/A,"Thursday, October 16, 2008  12:54:46 PM",10,-10,PhA_WATTS/PhA_VA,,,,
Ph_B_VA,Not Used,VA,Calculated,VA,N/A,"Thursday, October 16, 2008  12:54:57 PM",10,-10,"VA(PhB_V_INV,PhB_I_INV)",,,,
Ph_B_WATTS,Not Used,Watts,Calculated,Watts,N/A,"Thursday, October 16, 2008  12:55:20 PM",10,-10,"Watts(PhB_V_INV,PhB_I_INV)",,,,
