1274.275,300,278.7925794,263.9255443,-605.3682069,214.8746501,109.8901099,-1.229719698,642.371996
1276.799,300,280.618148,263.5138469,-621.8543665,265.5627732,109.8075393,-1.167190775,676.185211
1279.323,300,281.4683792,263.5935569,-585.788104,230.8226545,109.7249686,-1.195440322,629.6243329
1281.846,300,281.3779072,263.2447644,-632.3514276,261.286675,109.642398,-1.178963947,684.2068799
1284.369,300,283.2305727,262.9577221,-595.6733371,235.8688728,109.5598274,-1.193768761,640.6721858
1286.893,300,284.4847311,263.0555251,-629.4663142,236.2865059,109.4772568,-1.211696111,672.3534439
1289.417,300,283.6196891,262.6535646,-608.0390523,239.5091675,109.3946862,-1.195555926,653.5106199
1291.96,300,281.5508166,262.4501473,-649.7591825,266.5128565,109.3121155,-1.181552077,702.2934557
1294.498,300,284.7828862,262.1882741,-588.8085021,231.4685163,109.2295449,-1.196240729,632.6714204
1297.04,300,284.3715508,261.837224,-592.2093431,237.7860238,109.1469743,-1.188977197,638.1646333
1299.564,300,283.4023253,261.7780304,-631.5158008,260.3217558,109.0644037,-1.17980234,683.0663388
1302.087,300,285.4028085,261.7371086,-595.4521739,243.4281835,108.981833,-1.182716283,643.2888713
1304.61,300,287.251713,261.377569,-632.8187191,231.1995694,108.8992624,-1.220513698,673.7304893
1307.133,300,284.208297,261.0879816,-612.2972008,228.7996473,108.8166918,-1.213188536,653.649096
1309.656,300,285.5386121,261.0319401,-578.5755498,229.5811055,108.7341212,-1.193048135,622.4605617
1312.275,300,287.6509498,261.1008525,-622.1460711,245.7169983,108.6515505,-1.194650398,668.9114866
1314.799,300,288.8957908,260.795447,-644.0871519,235.3321865,108.5689799,-1.220492182,685.7328176
1317.324,300,283.5049519,260.5799053,-599.5613208,252.6004937,108.4864093,-1.172056262,650.600328
1320.026,300,283.486585,260.5580917,-653.0460344,239.2766796,108.4038387,-1.21958579,695.5015833
1322.549,300,285.8728741,259.9270289,-610.5682097,239.643348,108.3212681,-1.196778774,655.9134646
1325.072,300,288.4846075,259.9079959,-604.8252559,231.0724094,108.2386974,-1.205860763,647.4627778
1327.597,300,285.7520542,259.5308849,-607.7982512,239.0368836,108.1561268,-1.196093611,653.1135781
1330.119,300,285.4744412,259.5812351,-610.7828759,240.8701744,108.0735562,-1.195158848,656.5623828
1332.642,300,286.9906549,259.335345,-608.704008,229.5572889,107.9909856,-1.210164248,650.5513955
1335.282,300,288.3615386,258.8469494,-619.5586075,236.1539181,107.9084149,-1.206631905,663.0396226
1337.965,300,285.7781002,258.8850092,-579.5225208,231.0439364,107.8258443,-1.19142855,623.8811206
1340.489,300,286.8518848,258.7007687,-637.1107994,248.9506273,107.7432737,-1.198290002,684.0223575
1343.012,300,288.2530501,258.3892185,-594.8760465,238.1731806,107.6607031,-1.189967174,640.7838752
1345.536,300,289.9162514,258.2511669,-611.1598117,240.7454176,107.5781325,-1.195546054,656.8673165
1348.059,300,288.8561464,258.1187708,-618.9709828,267.4412361,107.4955618,-1.162949272,674.2773111
1350.582,300,288.3897706,257.8134835,-602.7331918,255.5036188,107.4129912,-1.1698507,654.6521211
1353.107,300,288.4790125,257.7487245,-597.4906486,245.2707486,107.3304206,-1.181269926,645.8736836
1355.634,300,288.6242977,257.2209897,-623.4553714,238.1850288,107.24785,-1.205867738,667.4044562
1358.156,300,291.6741271,257.4040018,-610.2019204,254.5991381,107.1652793,-1.175518895,661.1861347
1360.68,300,292.6287658,257.3970078,-638.0697808,245.8752621,107.0827087,-1.202989427,683.8038386
1363.283,300,289.7472503,256.4594331,-640.0182346,254.234457,107.0001381,-1.192680141,688.6642867
1365.807,300,288.2650476,256.7171733,-598.4397478,237.9464481,106.9175675,-1.192350808,644.0098167
1368.33,300,287.2380807,256.7398955,-617.0850204,238.6110478,106.8349968,-1.201829957,661.6110296
1370.853,300,287.3824413,255.5866254,-637.2777124,233.6319431,106.7524262,-1.219402092,678.7538342
1373.376,300,289.3503537,256.1110871,-643.1746917,264.6747088,106.6698556,-1.180404569,695.5044109
1375.898,300,290.5870146,255.6357504,-573.0258289,244.0358882,106.587285,-1.168186976,622.8259109
1378.421,300,287.0425323,255.8326432,-604.9646201,241.2082651,106.5047144,-1.191398489,651.2784495
1380.944,300,287.7425305,255.5417169,-629.0899078,244.6891664,106.4221437,-1.19984554,675.0014076
1383.467,300,287.8469119,255.7111331,-591.3259316,238.0858747,106.3395731,-1.188024308,637.4568543
1386.002,300,294.0417001,255.4527841,-598.6040318,254.7378032,106.2570025,-1.168457289,650.5521772
1388.527,300,288.2151421,254.9843231,-583.2219349,239.7093534,106.1744319,-1.180835768,630.5619712
1391.126,300,284.4839603,254.8809529,-624.7901692,243.501759,106.0918612,-1.199171452,670.563839
1393.649,300,289.7019515,254.386215,-623.7930426,239.9588038,106.0092906,-1.203568864,668.3546869
1396.275,300,291.4634265,254.3978101,-634.2756998,239.6063122,105.92672,-1.209604923,678.024224
1398.799,300,290.2949585,254.1003699,-592.9126053,246.3822713,105.8441494,-1.176960748,642.0666485
1401.324,300,287.0363956,254.0098857,-615.1078357,237.7029642,105.7615788,-1.202033002,659.4394201
1403.847,300,288.4171213,253.654755,-583.9541381,249.2625566,105.6790081,-1.167357247,634.9285452
1406.37,300,286.2918091,253.6930818,-588.0689479,229.84844,105.5964375,-1.198200187,631.3916319
1408.893,300,287.4043301,253.2518811,-612.540756,238.7552988,105.5138669,-1.199132409,657.4270077
1411.417,300,288.4943356,253.2969623,-576.5626666,237.6343483,105.4312963,-1.179853893,623.6141371
